src;name;link;price;category;
img\giphy (11).gif;aaa;test.com;2.99;arcade;
http://hello.eboy.com/eboy/wp-content/uploads/2019/11/KAI-Mixc-World-Shenzhen-64s-tn.png;bbbb;test.com;1.45;build;
http://hello.eboy.com/eboy/wp-content/uploads/2016/02/Blockbob-Luxing-FlatRotating-01k-tn.gif;cccc;test.com;3.99;arcade;
http://hello.eboy.com/eboy/wp-content/uploads/2016/11/UBS-UbisoftChars-09k-tn.png;ddddddd;test.com;2.98;adventure;
http://hello.eboy.com/eboy/wp-content/uploads/2019/02/PT-Berlin-Weltzeituhr-kleiner-01t-tn.png;eeeeeee;test.com;4.99;arcade;
img\giphy (10).gif;ffffff;test.com;3.99;adventure;
img\giphy (9).gif;ggggggg;test.com;7.99;horror;
img\giphy (8).gif;hhhhhh;test.com;8.99;adventure;
img\giphy (7).gif;Scehnnnnnnletons II;test.com;4.45;horror;
img\giphy (6).gif;Mr. Lemo;test.com;1.12;horror;
img\giphy (5).gif;uuuuuuu;test.com;14.1;shooter;
img\giphy (4).gif;tttttt;test.com;1.99;arcade;c
img\giphy (3).gif;ggggg;test.com;3.63;arcade;
img\giphy (2).gif;Star Skull;test.com;1.93;horror;
img\giphy (1).gif;Magic Brush;test.com;1.21;adventure;
img\giphy.gif;Stranger Things;test.com;2.42;adventure;
